time,frame_id,force_x,force_y,force_z,torque_x,torque_y,torque_z,normalized_force,normalized_torque
1747747064.1416357,azrael/tool0,1.6888367098632704,0.22919475925819413,1.0101959697626997,-0.007869246682167541,-0.054337471682288814,-0.2010309825291159,1.981210631805215,0.2083937182565493
1747747064.1436322,azrael/tool0,1.4808253276866363,0.1379483036098758,0.9360048392321052,-0.0039065543165832245,-0.05601822331227292,-0.197650520684986,1.7572644777189903,0.20547270095255518
1747747064.14564,azrael/tool0,1.528752774115989,0.40774512252116835,0.7025843300452028,-0.006857242188484956,-0.04736236884218217,-0.1922843297956,1.7311747081482565,0.19815014316855165
1747747064.1476252,azrael/tool0,1.7912746599755958,0.33219054324948455,0.7911172536753214,-0.0011853484485619126,-0.05561010065916811,-0.1982597789470332,1.9861726947971712,0.2059146140865038
1747747064.149627,azrael/tool0,1.6619383657740987,0.3543585632409262,0.842744396796499,-0.0018282714780885603,-0.05566065362315976,-0.20198040324078081,1.89679393749188,0.20951738407985
1747747064.1516309,azrael/tool0,1.8767595837990874,0.2902229989826302,0.9836584187058921,-0.011829445528990417,-0.06953961794865395,-0.1896995642500218,2.13870049544371,0.202389769807212
1747747064.1536252,azrael/tool0,1.5846728117492705,0.3603793895839285,0.8378759532674398,-0.008068593207205828,-0.055915657780710205,-0.1960568650142143,1.828413885803224,0.2040342062022805
1747747064.155624,azrael/tool0,1.3308016437453294,0.419357332182059,0.7977789094774185,-0.006935693767190954,-0.05063098763297132,-0.1947956008918351,1.6072786863071082,0.2013875042884574
1747747064.1576285,azrael/tool0,1.6473997490341237,0.050026482963076505,0.9332887510002742,-0.01945268541134422,-0.0581673000178867,-0.1902133292460353,1.8940582026059811,0.19985733007309037
1747747064.1596336,azrael/tool0,1.4682810688901444,0.33096802303697087,1.0485260046526081,-0.005718060249463954,-0.05215508092675068,-0.20154786442395675,1.834338003740572,0.20826519232303334
1747747064.1616335,azrael/tool0,1.4037652924367385,0.06650301359839857,0.8374187577503533,-0.01581424428126557,-0.05388344320056682,-0.20086670569793444,1.635924760769827,0.20856881174153738
1747747064.1636274,azrael/tool0,1.766256920941955,0.2575104628361948,1.0247853339129427,-0.002894997279694656,-0.05288483865667343,-0.18981387257548377,2.058193414100951,0.19706469341587754
1747747064.1656368,azrael/tool0,1.4041091070301672,0.18854083662983548,0.8650821022808467,-0.009020364527497137,-0.04815565738403189,-0.19701651645601742,1.6599509255423128,0.20301685169158096
1747747064.1676292,azrael/tool0,1.4332276043080514,0.21977356547241345,0.7465634491972429,-0.006929628120757775,-0.04782036331912296,-0.1993896795224826,1.6308889506978512,0.20516103722184492
1747747064.1696284,azrael/tool0,1.7666474565182153,0.14792574405572836,0.9248218082434774,-0.012693918532809694,-0.0645402459834341,-0.1926103735613631,1.999555110113111,0.20353214714822723
