time,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,normalized_position,normalized_orientation,roll,pitch,yaw,rotation_normalized
1747747071.123814,omron/base_footprint,-0.2832938739513846,1.3693057026621913,0.0,0.0,0.0,0.7155754191401044,0.6985354819352156,1.3983038033137078,1.0,0.0,0.0,91.38075342520946,91.38075342520946
1747747071.1337483,omron/base_footprint,-0.2833054233173815,1.3692834120491961,0.0,0.0,0.0,0.7155807179747785,0.6985300538006224,1.3982843149353172,0.9999999999999999,0.0,0.0,91.38162267824134,91.38162267824134
1747747071.1437106,omron/base_footprint,-0.28331742434915874,1.3692602496897304,0.0,0.0,0.0,0.7155862239941432,0.6985244133384344,1.3982640645887399,1.0,0.0,0.0,91.38252592626475,91.38252592626475
1747747071.1537533,omron/base_footprint,-0.2833247402124126,1.3692329452986283,0.0,0.0,0.0,0.7155880955166997,0.6985224960978585,1.398238808969193,1.0,0.0,0.0,91.38283294628826,91.38283294628826
1747747071.163872,omron/base_footprint,-0.2833285188736747,1.369210979423852,0.0,0.0,0.0,0.7155868611330917,0.6985237606364506,1.3982180644598947,1.0,0.0,0.0,91.38263044770758,91.38263044770758
1747747071.1738267,omron/base_footprint,-0.28332134047157354,1.369214060583316,0.0,0.0,0.0,0.7155738331722448,0.6985371065871736,1.3982196271207403,1.0,0.0,0.0,91.38049325472,91.38049325472
1747747071.183674,omron/base_footprint,-0.28332134047157354,1.369214060583316,0.0,0.0,0.0,0.7155738331722448,0.6985371065871736,1.3982196271207403,1.0,0.0,0.0,91.38049325472,91.38049325472
1747747071.1937692,omron/base_footprint,-0.2833048551783781,1.3692533681397325,0.0,0.0,0.0,0.7155766480454758,0.6985342230499528,1.3982547790476683,1.0,0.0,0.0,91.38095502171092,91.38095502171092
1747747071.203818,omron/base_footprint,-0.28328342600235423,1.369319530609324,0.0,0.0,0.0,0.7155794100568481,0.6985313936414693,1.398315227820884,1.0,0.0,0.0,91.38140811881017,91.38140811881017
1747747071.2137501,omron/base_footprint,-0.28325078318565033,1.3694742703161962,0.0,0.0,0.0,0.7155737498719097,0.6985371919191229,1.3984601471737985,0.9999999999999999,0.0,0.0,91.38047958971266,91.38047958971266
1747747071.223754,omron/base_footprint,-0.28325078318565033,1.3694742703161962,0.0,0.0,0.0,0.7155737498719097,0.6985371919191229,1.3984601471737985,0.9999999999999999,0.0,0.0,91.38047958971266,91.38047958971266
1747747071.2337222,omron/base_footprint,-0.2832185207829463,1.3695104548865253,0.0,0.0,0.0,0.715586815147905,0.6985238077449315,1.3984890477075527,1.0,0.0,0.0,91.38262290392117,91.38262290392117
1747747071.2437606,omron/base_footprint,-0.2832232839931468,1.3695186763350553,0.0,0.0,0.0,0.7155860368234538,0.6985246050808107,1.3984980634331907,1.0,0.0,0.0,91.38249522128473,91.38249522128473
1747747071.253763,omron/base_footprint,-0.28323374664811674,1.3695367352033374,0.0,0.0,0.0,0.71558432718746,0.6985263564702983,1.3985178669976819,1.0,0.0,0.0,91.382214759284,91.382214759284
1747747071.263808,omron/base_footprint,-0.2832478804646419,1.3695611306136601,0.0,0.0,0.0,0.7155820176632117,0.6985287223851623,1.3985446193366442,1.0,0.0,0.0,91.38183588805948,91.38183588805948
1747747071.2737544,omron/base_footprint,-0.28322520359047765,1.369626265178308,0.0,0.0,0.0,0.7155670992019448,0.6985440047267703,1.398603811740533,0.9999999999999999,0.0,0.0,91.37938858563693,91.37938858563693
1747747071.2838194,omron/base_footprint,-0.28322520359047765,1.369626265178308,0.0,0.0,0.0,0.7155670992019448,0.6985440047267703,1.398603811740533,0.9999999999999999,0.0,0.0,91.37938858563693,91.37938858563693
1747747071.2938404,omron/base_footprint,-0.28320182040696107,1.36966659615941,0.0,0.0,0.0,0.7155597005196239,0.6985515836302042,1.3986385722254056,1.0,0.0,0.0,91.37817488694809,91.37817488694809
1747747071.3038092,omron/base_footprint,-0.2832016638426813,1.3696622424835274,0.0,0.0,0.0,0.7155605223854241,0.69855074175288,1.3986342770318008,1.0,0.0,0.0,91.37830970725673,91.37830970725673
1747747071.3138444,omron/base_footprint,-0.2832014549778368,1.3696024943836034,0.0,0.0,0.0,0.7155717844664826,0.698539205252972,1.3985757243436452,1.0,0.0,0.0,91.38015717517261,91.38015717517261
1747747071.3238902,omron/base_footprint,-0.2832014549778368,1.3696024943836034,0.0,0.0,0.0,0.7155717844664826,0.698539205252972,1.3985757243436452,1.0,0.0,0.0,91.38015717517261,91.38015717517261
1747747071.3337746,omron/base_footprint,-0.2831977722631063,1.36958808030668,0.0,0.0,0.0,0.7155676982740083,0.6985433910551567,1.398560863149303,0.9999999999999999,0.0,0.0,91.37948685952006,91.37948685952006
1747747071.34375,omron/base_footprint,-0.2831939776505803,1.3695736611006644,0.0,0.0,0.0,0.7155634034890983,0.6985477904818667,1.3985459742740798,1.0,0.0,0.0,91.37878232984437,91.37878232984437
1747747071.3537865,omron/base_footprint,-0.2832343198894547,1.3695004634864807,0.0,0.0,0.0,0.7155741548641031,0.6985367770493724,1.3984824630480452,1.0,0.0,0.0,91.38054602669146,91.38054602669146
1747747071.363779,omron/base_footprint,-0.2832343198894547,1.3695004634864807,0.0,0.0,0.0,0.7155741548641031,0.6985367770493724,1.3984824630480452,1.0,0.0,0.0,91.38054602669146,91.38054602669146
1747747071.3737063,omron/base_footprint,-0.2832343198894547,1.3695004634864807,0.0,0.0,0.0,0.7155741548641031,0.6985367770493724,1.3984824630480452,1.0,0.0,0.0,91.38054602669146,91.38054602669146
1747747071.3838632,omron/base_footprint,-0.2832094071558222,1.3695186259712278,0.0,0.0,0.0,0.7155674696899778,0.698543625209967,1.398495203847218,1.0,0.0,0.0,91.3794493617835,91.3794493617835
1747747071.3937092,omron/base_footprint,-0.2832712758903124,1.3695463122362503,0.0,0.0,0.0,0.7155785194383323,0.6985323059948225,1.3985348465821072,1.0,0.0,0.0,91.38126201614607,91.38126201614607
1747747071.4037678,omron/base_footprint,-0.2832712758903124,1.3695463122362503,0.0,0.0,0.0,0.7155785194383323,0.6985323059948225,1.3985348465821072,1.0,0.0,0.0,91.38126201614607,91.38126201614607
1747747071.413769,omron/base_footprint,-0.2832778090321275,1.3695496915453806,0.0,0.0,0.0,0.7155808064732069,0.6985299631419934,1.3985394791360342,0.9999999999999999,0.0,0.0,91.38163719611853,91.38163719611853
1747747071.4237587,omron/base_footprint,-0.28326979713034817,1.369545944983453,0.0,0.0,0.0,0.7155812913132138,0.6985294664668867,1.3985341874215618,1.0,0.0,0.0,91.38171673256643,91.38171673256643
1747747071.4337413,omron/base_footprint,-0.2832655262488881,1.3695269301170525,0.0,0.0,0.0,0.71559986290336,0.6985104410190965,1.3985147016305899,1.0,0.0,0.0,91.38476338493034,91.38476338493034
1747747071.4437728,omron/base_footprint,-0.2832655262488881,1.3695269301170525,0.0,0.0,0.0,0.71559986290336,0.6985104410190965,1.3985147016305899,1.0,0.0,0.0,91.38476338493034,91.38476338493034
1747747071.453746,omron/base_footprint,-0.2832462360619834,1.3695240685988388,0.0,0.0,0.0,0.715596958091646,0.6985134168861631,1.3985079923671504,0.9999999999999998,0.0,0.0,91.38428684775302,91.38428684775302
1747747071.4639103,omron/base_footprint,-0.2832462360619834,1.3695240685988388,0.0,0.0,0.0,0.715596958091646,0.6985134168861631,1.3985079923671504,0.9999999999999998,0.0,0.0,91.38428684775302,91.38428684775302
1747747071.4738617,omron/base_footprint,-0.2832462360619834,1.3695240685988388,0.0,0.0,0.0,0.715596958091646,0.6985134168861631,1.3985079923671504,0.9999999999999998,0.0,0.0,91.38428684775302,91.38428684775302
1747747071.4837775,omron/base_footprint,-0.28320378870770035,1.369635077744561,0.0,0.0,0.0,0.7155743426623125,0.6985365846706953,1.3986081052699306,1.0,0.0,0.0,91.38057683407807,91.38057683407807
1747747071.4937522,omron/base_footprint,-0.2831627593085262,1.3696178248725657,0.0,0.0,0.0,0.7155696658637197,0.6985413755073385,1.3985829022506588,1.0,0.0,0.0,91.37980963044697,91.37980963044697
1747747071.50378,omron/base_footprint,-0.2831585507326908,1.3696228159070418,0.0,0.0,0.0,0.7155706244904133,0.6985403935109264,1.3985869378433977,1.0,0.0,0.0,91.37996688756647,91.37996688756647
1747747071.5137641,omron/base_footprint,-0.28313456667144177,1.3696631844588967,0.0,0.0,0.0,0.7155776358858739,0.6985332111073772,1.3986216149145954,0.9999999999999999,0.0,0.0,91.38111707283103,91.38111707283103
1747747071.5236871,omron/base_footprint,-0.28313456667144177,1.3696631844588967,0.0,0.0,0.0,0.7155776358858739,0.6985332111073772,1.3986216149145954,0.9999999999999999,0.0,0.0,91.38111707283103,91.38111707283103
1747747071.5337596,omron/base_footprint,-0.2830791768352574,1.3697125048456775,0.0,0.0,0.0,0.7155610361291623,0.6985502154990432,1.3986587025748445,1.0,0.0,0.0,91.37839398276394,91.37839398276394
1747747071.543727,omron/base_footprint,-0.2830786144087303,1.3697130155480894,0.0,0.0,0.0,0.7155601520873756,0.6985511210675223,1.3986590888767023,1.0,0.0,0.0,91.37824896289467,91.37824896289467
1747747071.5537088,omron/base_footprint,-0.2830786144087303,1.3697130155480894,0.0,0.0,0.0,0.7155601520873756,0.6985511210675223,1.3986590888767023,1.0,0.0,0.0,91.37824896289467,91.37824896289467
1747747071.5637522,omron/base_footprint,-0.28308047306927353,1.369718435657122,0.0,0.0,0.0,0.7155587327260743,0.6985525749859165,1.3986647729931991,0.9999999999999999,0.0,0.0,91.37801612860359,91.37801612860359
1747747071.573736,omron/base_footprint,-0.28308067440181617,1.3697190227705573,0.0,0.0,0.0,0.7155585789787902,0.6985527324761206,1.3986653887042881,0.9999999999999999,0.0,0.0,91.37799090768303,91.37799090768303
1747747071.583783,omron/base_footprint,-0.28308067440181617,1.3697190227705573,0.0,0.0,0.0,0.7155585789787902,0.6985527324761206,1.3986653887042881,0.9999999999999999,0.0,0.0,91.37799090768303,91.37799090768303
1747747071.5937157,omron/base_footprint,-0.28311391841753686,1.369659193789118,0.0,0.0,0.0,0.7155505245528455,0.6985609828870688,1.3986135270090836,1.0,0.0,0.0,91.37666965628323,91.37666965628323
1747747071.6038148,omron/base_footprint,-0.283113329872112,1.3696674154061637,0.0,0.0,0.0,0.7155759999097802,0.6985348869978637,1.3986214592864918,0.9999999999999999,0.0,0.0,91.38084869786583,91.38084869786583
1747747071.6137195,omron/base_footprint,-0.28308368244860826,1.3695142414922397,0.0,0.0,0.0,0.715557022371933,0.6985543269740823,1.398465455032311,1.0,0.0,0.0,91.3777355600268,91.3777355600268
1747747071.6237717,omron/base_footprint,-0.2830799633833916,1.3695048221020114,0.0,0.0,0.0,0.715555947615098,0.6985554278886245,1.3984554778146512,1.0,0.0,0.0,91.37755925596642,91.37755925596642
1747747071.6336584,omron/base_footprint,-0.2830598869686973,1.3694662102482535,0.0,0.0,0.0,0.7155522075296662,0.6985592589747998,1.398413601414991,0.9999999999999999,0.0,0.0,91.37694573121495,91.37694573121495
1747747071.6437607,omron/base_footprint,-0.2830598869686973,1.3694662102482535,0.0,0.0,0.0,0.7155522075296662,0.6985592589747998,1.398413601414991,0.9999999999999999,0.0,0.0,91.37694573121495,91.37694573121495
1747747071.6537147,omron/base_footprint,-0.2831022027189123,1.3694875475727573,0.0,0.0,0.0,0.7155522363349832,0.6985592294687719,1.398443062888563,1.0,0.0,0.0,91.37695045643504,91.37695045643504
1747747071.6638417,omron/base_footprint,-0.2831061191118529,1.3694770770420575,0.0,0.0,0.0,0.7155509495228889,0.6985605475811615,1.3984336020069856,1.0,0.0,0.0,91.37673936815689,91.37673936815689
1747747071.6737542,omron/base_footprint,-0.2831124066267616,1.3694493115640278,0.0,0.0,0.0,0.7155477433072459,0.6985638317633599,1.3984076843786244,1.0,0.0,0.0,91.37621342321664,91.37621342321664
1747747071.6838396,omron/base_footprint,-0.2831124066267616,1.3694493115640278,0.0,0.0,0.0,0.7155477433072459,0.6985638317633599,1.3984076843786244,1.0,0.0,0.0,91.37621342321664,91.37621342321664
1747747071.6937659,omron/base_footprint,-0.28311648576812143,1.3694194539595128,0.0,0.0,0.0,0.7155489231536694,0.698562623229746,1.3983792709406349,1.0,0.0,0.0,91.37640696395248,91.37640696395248
1747747071.7037604,omron/base_footprint,-0.28311035860654066,1.36943401091199,0.0,0.0,0.0,0.7155554880977608,0.6985558985887782,1.3983922859458373,1.0,0.0,0.0,91.3774838764214,91.3774838764214
1747747071.713826,omron/base_footprint,-0.28311189783473933,1.3694208873490439,0.0,0.0,0.0,0.7155577989587496,0.6985535314843878,1.3983797457784601,0.9999999999999999,0.0,0.0,91.37786295218697,91.37786295218697
1747747071.723865,omron/base_footprint,-0.283121362126713,1.3693499534320748,0.0,0.0,0.0,0.715567925216586,0.6985431585816515,1.3983121971351429,0.9999999999999999,0.0,0.0,91.37952408799926,91.37952408799926
1747747071.733757,omron/base_footprint,-0.28306759347412047,1.369326445497717,0.0,0.0,0.0,0.7155463699809619,0.698565238476027,1.398278290189275,1.0,0.0,0.0,91.37598814467466,91.37598814467466
1747747071.743764,omron/base_footprint,-0.28306759347412047,1.369326445497717,0.0,0.0,0.0,0.7155463699809619,0.698565238476027,1.398278290189275,1.0,0.0,0.0,91.37598814467466,91.37598814467466
1747747071.753777,omron/base_footprint,-0.28306759347412047,1.369326445497717,0.0,0.0,0.0,0.7155463699809619,0.698565238476027,1.398278290189275,1.0,0.0,0.0,91.37598814467466,91.37598814467466
1747747071.763747,omron/base_footprint,-0.28306759347412047,1.369326445497717,0.0,0.0,0.0,0.7155463699809619,0.698565238476027,1.398278290189275,1.0,0.0,0.0,91.37598814467466,91.37598814467466
1747747071.7738805,omron/base_footprint,-0.28306759347412047,1.369326445497717,0.0,0.0,0.0,0.7155463699809619,0.698565238476027,1.398278290189275,1.0,0.0,0.0,91.37598814467466,91.37598814467466
1747747071.7838213,omron/base_footprint,-0.2831104351850069,1.3691608884250388,0.0,0.0,0.0,0.7155431095182211,0.698568578180407,1.3981248359511698,1.0,0.0,0.0,91.37545330469848,91.37545330469848
1747747071.7938178,omron/base_footprint,-0.2831104351850069,1.3691608884250388,0.0,0.0,0.0,0.7155431095182211,0.698568578180407,1.3981248359511698,1.0,0.0,0.0,91.37545330469848,91.37545330469848
1747747071.803803,omron/base_footprint,-0.2831444637103484,1.3690046230251673,0.0,0.0,0.0,0.7155142208700984,0.6985981675703538,1.3979786998356238,1.0,0.0,0.0,91.37071457865004,91.37071457865004
1747747071.813786,omron/base_footprint,-0.28315702734135595,1.3690231668359618,0.0,0.0,0.0,0.7155208977932879,0.6985913289048807,1.3979994039577983,1.0,0.0,0.0,91.37180980451554,91.37180980451554
1747747071.8237767,omron/base_footprint,-0.28315702734135595,1.3690231668359618,0.0,0.0,0.0,0.7155208977932879,0.6985913289048807,1.3979994039577983,1.0,0.0,0.0,91.37180980451554,91.37180980451554
1747747071.833717,omron/base_footprint,-0.28315702734135595,1.3690231668359618,0.0,0.0,0.0,0.7155208977932879,0.6985913289048807,1.3979994039577983,1.0,0.0,0.0,91.37180980451554,91.37180980451554
1747747071.8437657,omron/base_footprint,-0.28323795517644346,1.3690196490176243,0.0,0.0,0.0,0.7155384950724172,0.6985733047214877,1.3980123528241344,1.0,0.0,0.0,91.37469636434021,91.37469636434021
1747747071.8537636,omron/base_footprint,-0.28322989145724087,1.3690304633975976,0.0,0.0,0.0,0.7155394131056213,0.6985723643921675,1.3980213092530176,1.0,0.0,0.0,91.37484695544666,91.37484695544666
1747747071.8637915,omron/base_footprint,-0.28322989145724087,1.3690304633975976,0.0,0.0,0.0,0.7155394131056213,0.6985723643921675,1.3980213092530176,1.0,0.0,0.0,91.37484695544666,91.37484695544666
1747747071.8737628,omron/base_footprint,-0.28322679036228315,1.369034622324464,0.0,0.0,0.0,0.7155397661567809,0.6985720027658562,1.3980247536799941,1.0,0.0,0.0,91.37490486883593,91.37490486883593
1747747071.8837361,omron/base_footprint,-0.28322679036228315,1.369034622324464,0.0,0.0,0.0,0.7155397661567809,0.6985720027658562,1.3980247536799941,1.0,0.0,0.0,91.37490486883593,91.37490486883593
1747747071.8937075,omron/base_footprint,-0.28322239681541816,1.3691684431666844,0.0,0.0,0.0,0.7155469600881014,0.6985646340237079,1.3981549098084063,0.9999999999999999,0.0,0.0,91.37608494497712,91.37608494497712
1747747071.9037392,omron/base_footprint,-0.2832202202005156,1.3691494535726563,0.0,0.0,0.0,0.7155472954345093,0.6985642905247583,1.3981358729925828,1.0,0.0,0.0,91.37613995474327,91.37613995474327
1747747071.9137275,omron/base_footprint,-0.2832290287528654,1.369173549199342,0.0,0.0,0.0,0.7155404187856512,0.6985713342845201,1.3981612534165773,0.9999999999999999,0.0,0.0,91.37501192407892,91.37501192407892
1747747071.9237535,omron/base_footprint,-0.2832290287528654,1.369173549199342,0.0,0.0,0.0,0.7155404187856512,0.6985713342845201,1.3981612534165773,0.9999999999999999,0.0,0.0,91.37501192407892,91.37501192407892
1747747071.933774,omron/base_footprint,-0.2832290287528654,1.369173549199342,0.0,0.0,0.0,0.7155404187856512,0.6985713342845201,1.3981612534165773,0.9999999999999999,0.0,0.0,91.37501192407892,91.37501192407892
1747747071.943749,omron/base_footprint,-0.28323038908063136,1.3690445759089351,0.0,0.0,0.0,0.7155442694826,0.6985673900280576,1.3980352299296472,0.9999999999999999,0.0,0.0,91.37564358270954,91.37564358270954
1747747071.95376,omron/base_footprint,-0.2834401870687353,1.3692579111492371,0.0,0.0,0.0,0.7156334393640698,0.6984760414387542,1.3982866540485652,0.9999999999999999,0.0,0.0,91.39027178322468,91.39027178322468
1747747071.9637544,omron/base_footprint,-0.2834401870687353,1.3692579111492371,0.0,0.0,0.0,0.7156334393640698,0.6984760414387542,1.3982866540485652,0.9999999999999999,0.0,0.0,91.39027178322468,91.39027178322468
